currency code
AAVE
ABT
ADA
ADX
AE
AEON
AGI
AGRS
ALGO
AMP
AMPL
ANT
APX
ARDR
ARK
AST
ATM
ATOM
AVAX
AVT
BAND
BAT
BCD
BCH
BCN
BLZ
BNB
BNT
BSV
BTC
BTCD
BTCP
BTG
BTM
BTS
BTT
BTX
BURST
BUSD
CAKE
CDT
COVAL
CRO
CTXC
CVC
DAI
DAR
DASH
DATA
DBC
DCR
DENT
DGB
DMD
DOGE
DOT
DRGN
EGLD
ELA
ELF
ENJ
EOS
ETC
ETH
ETN
FCT
FIL
FTC
FTT
FUN
GAME
GAS
GBYTE
GCR
GNO
GRS
GTO
HBAR
HT
ICX
IGNIS
INF
INSTAR
IOST
IOTA
IOTX
KCS
KICK
KIN
KLAY
KMD
KNC
KSM
LBC
LCC
LEO
LINK
LOOM
LRC
LSK
LTC
LUNA
MANA
MATIC
MCO
MED
MIOTA
MKR
MLN
MOD
MONA
MYST
NBT
NEO
NLG
NMC
NMR
NULS
NXC
OAX
OMG
ONT
ORN
PART
PAY
PING
PIVX
PLR
PLU
POLY
POWR
PPC
PPT
PRO
QLC
QRL
QSP
QTUM
QUICK
RADS
RAIN
REP
REQ
RLC
RUNE
SALT
SBD
SC
SHIB
SNC
SNT
SOL
SOUL
SPC
SNX
STEEM
STORJ
STRAT
SWFTC
SYS
TAAS
TCC
TFL
THC
THETA
TIME
TKS
TRAC
TRIBE
TRX
TUSD
UNB
USDT
UST
UTK
VET
VIB
VTC
WAN
WAVES
WBTC
WCT
XCP
XEM
XHV
XLM
XMR
XPM
XRP
XTZ
XVG
XWC
XZC
ZEC
ZEN
ZIL
